"Game","Status","Issues"
"assets","NEEDS ATTENTION","MISSING index.html"
"bhava-build-device-engineer","NEEDS ATTENTION","WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"bhava-digital-chemistry-universe","NEEDS ATTENTION","Missing script include: bhava-bridge.js | Missing script include: bhava-session.js | WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"bhava-smriti","NEEDS ATTENTION","WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"bhava-space-academy","NEEDS ATTENTION","MISSING index.html"
"bhava-tech-build-your-bike","NEEDS ATTENTION","WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"brain-of-all-machines","NEEDS ATTENTION","WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"build-your-car","NEEDS ATTENTION","MISSING index.html"
"devanagari-game","NEEDS ATTENTION","Missing script include: bhava-bridge.js | Missing script include: bhava-session.js | WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"drone-build-engineer","NEEDS ATTENTION","WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"focus-flash","NEEDS ATTENTION","WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"hidden-maths","NEEDS ATTENTION","WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"hidden-science","NEEDS ATTENTION","Missing script include: bhava-bridge.js | Missing script include: bhava-session.js | WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"intelligent-machines","NEEDS ATTENTION","WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"know-maths","NEEDS ATTENTION","Missing script include: bhava-bridge.js | Missing script include: bhava-session.js | WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"life-strategist-starter","NEEDS ATTENTION","WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"nadopaasana","NEEDS ATTENTION","WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"plane-builder","NEEDS ATTENTION","WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"rocket-build-engineer","NEEDS ATTENTION","WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
"secret-of-silicon-game","NEEDS ATTENTION","WARNING: medhaa-session-enhancer.js not included (coins/XP won't track) | WARNING: no BhavaSession.end(...) call found ? score may not save"
