"File","LineNumber","Before","After"
"bcs-lite-v3.html","6","<title>BCS Lite — Bhāva Cognitive Screen</title>","<title>BCS Lite — Medhā Cognitive Screen</title>"
"bcs-lite-v3.html","493","<p>Bhāva Cognitive Screen · Enhanced Edition</p>","<p>Medhā Cognitive Screen · Enhanced Edition</p>"
"bcs-lite-v3.html","752","<p style=""font-size:0.78rem;color:var(--text-muted);margin-bottom:8px;"">Check this against your next assessment after 30 days of Bhāva activities</p>","<p style=""font-size:0.78rem;color:var(--text-muted);margin-bottom:8px;"">Check this against your next assessment after 30 days of Medhā activities</p>"
"bcs-lite-v3.html","1957","// 2. Bhava Cloud","// 2. Medhā Cloud"
"bhava-20-item-checkpoint.js","2","Bhava 20-item Progress Check","Medhā 20-item Progress Check"
"bhava-20-item-checkpoint.js","114","setText('#screen-logic .logo-text h1', 'Bhāva Progress Check');","setText('#screen-logic .logo-text h1', 'Medhā Progress Check');"
"bhava-bridge.js","2","* bhava-bridge.js — Compatibility layer for Bhāva Tech","* bhava-bridge.js — Compatibility layer for Medhā Tech"
"bhava-game-bank-compatibility-fix.js","37","console.info('Bhāva game-bank compatibility fix loaded.', report(12));","console.info('Medhā game-bank compatibility fix loaded.', report(12));"
"bhava-game-nav.js","2","// bhava-game-nav.js  — Universal Game Navigation Bar for Bhāva Tech","// bhava-game-nav.js  — Universal Game Navigation Bar for Medhā Tech"
"bhava-game-nav.js","170","body.innerHTML = '<div class=""bgnav-loading"">Fetching scores from Bhāva DB…</div>';","body.innerHTML = '<div class=""bgnav-loading"">Fetching scores from Medhā DB…</div>';"
"bhava-game-nav.js","173","body.innerHTML = '<div class=""bgnav-info"">Bhava IPC not available.<br>Launch from the Electron app.</div>';","body.innerHTML = '<div class=""bgnav-info"">Medhā IPC not available.<br>Launch from the Electron app.</div>';"
"bhava-math-grid.html","6","<title>Bhāva Math Grid - Enhanced</title>","<title>Medhā Math Grid - Enhanced</title>"
"bhava-math-grid.html","150","<div class=""title"">Bhāva Math Grid</div>","<div class=""title"">Medhā Math Grid</div>"
"bhava-math-grid.html","560","// Bhava session end","// Medhā session end"
"bhava-math-grid.html","626","<!-- Bhava Tech Session Tracker -->","<!-- Medhā Tech Session Tracker -->"
"bhava-math-grid.html","627","<script>document.title = ""Bhava Math Grid"";</script>","<script>document.title = ""Medhā Math Grid"";</script>"
"bhava-responsive.css","2","bhava-responsive.css — Global Mobile/Tablet Toolkit for Bhāva Tech Games","bhava-responsive.css — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"bhava-responsive.js","2","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Bhāva Tech Games","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"bhava-session.js","1","// ── Bhāva Tech — Session Tracker + Game Nav v3 ───────────────────────────────","// ── Medhā Tech — Session Tracker + Game Nav v3 ───────────────────────────────"
"bhava-session.js","388",".replace(/bh[aā]va|tech/gi, '').trim().slice(0, 32) || 'Bhāva Game';",".replace(/bh[aā]va|tech/gi, '').trim().slice(0, 32) || 'Medhā Game';"
"bhava-tech-all.js","2","// ║          bhava-tech-all.js — Bhāva Tech                     ║","// ║          bhava-tech-all.js — Medhā Tech                     ║"
"bhava-tech-all.js","12","/* Bhava Tech — script.js CLEAN BUILD */","/* Medhā Tech — script.js CLEAN BUILD */"
