"File","LineNumber","MatchedText","LooksLikeCode","LineContent"
"bcs-lite-v3.html","6","Bhāva","False","<title>BCS Lite — Bhāva Cognitive Screen</title>"
"bcs-lite-v3.html","493","Bhāva","False","<p>Bhāva Cognitive Screen · Enhanced Edition</p>"
"bcs-lite-v3.html","752","Bhāva","False","<p style=""font-size:0.78rem;color:var(--text-muted);margin-bottom:8px;"">Check this against your next assessment after 30 days of Bhāva activities</p>"
"bcs-lite-v3.html","1957","Bhava","False","// 2. Bhava Cloud"
"bhava-20-item-checkpoint.js","2","Bhava","False","Bhava 20-item Progress Check"
"bhava-20-item-checkpoint.js","114","Bhāva","False","setText('#screen-logic .logo-text h1', 'Bhāva Progress Check');"
"bhava-bridge.js","2","Bhāva","False","* bhava-bridge.js — Compatibility layer for Bhāva Tech"
"bhava-game-bank-compatibility-fix.js","37","Bhāva","False","console.info('Bhāva game-bank compatibility fix loaded.', report(12));"
"bhava-game-nav.js","2","Bhāva","False","// bhava-game-nav.js  — Universal Game Navigation Bar for Bhāva Tech"
"bhava-game-nav.js","170","Bhāva","True","body.innerHTML = '<div class=""bgnav-loading"">Fetching scores from Bhāva DB…</div>';"
"bhava-game-nav.js","173","Bhava","True","body.innerHTML = '<div class=""bgnav-info"">Bhava IPC not available.<br>Launch from the Electron app.</div>';"
"bhava-math-grid.html","6","Bhāva","False","<title>Bhāva Math Grid - Enhanced</title>"
"bhava-math-grid.html","150","Bhāva","True","<div class=""title"">Bhāva Math Grid</div>"
"bhava-math-grid.html","560","Bhava","False","// Bhava session end"
"bhava-math-grid.html","626","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"bhava-math-grid.html","627","Bhava","True","<script>document.title = ""Bhava Math Grid"";</script>"
"bhava-responsive.css","2","Bhāva","True","bhava-responsive.css — Global Mobile/Tablet Toolkit for Bhāva Tech Games"
"bhava-responsive.js","2","Bhāva","True","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Bhāva Tech Games"
"bhava-session.js","1","Bhāva","False","// ── Bhāva Tech — Session Tracker + Game Nav v3 ───────────────────────────────"
"bhava-session.js","388","Bhāva","False",".replace(/bh[aā]va|tech/gi, '').trim().slice(0, 32) || 'Bhāva Game';"
"bhava-tech-all.js","2","Bhāva","False","// ║          bhava-tech-all.js — Bhāva Tech                     ║"
"bhava-tech-all.js","12","Bhava","False","/* Bhava Tech — script.js CLEAN BUILD */"
"bhava-tech-all.js","97","Bhava","False","a: 'There are three primary quotients assessed at Bhava Tech. IQ (Intelligence Quotient) measures logical reasoning, memory, problem-solving, and processing speed. EQ (Emotional Quotient) measures sel ...(truncated)"
"bhava-tech-all.js","101","Bhava","False","a: 'No. IQ measures only logical and analytical thinking. Research over 30 years shows that EQ is an equally powerful predictor of success in life, relationships, and career. SQ adds the dimension of  ...(truncated)"
"bhava-tech-all.js","121","Bhava","False","a: 'Brain Gym at Bhava Tech is a structured set of cognitive exercises designed to strengthen specific mental functions - just like physical gym exercises strengthen muscles. It includes memory traini ...(truncated)"
"bhava-tech-all.js","124","Bhava","False","q: 'What methods and techniques does Bhava Tech use?',"
"bhava-tech-all.js","148","Bhava","False","q: 'Can schools and institutions partner with Bhava Tech?',"
"bhava-tech-all.js","186","Bhava","False","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Bhava Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recom ...(truncated)"
"bhava-tech-all.js","188","Bhava","False","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Bhava Tech for 60 students. The reports were professional and the Brain Gym sessions kept children gen ...(truncated)"
"bhava-tech-all.js","296","Bhava","False",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Bhava Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })"
"bhava-tech-all.js","331","Bhava","True","var UPI_NAME = 'Bhava Tech';"
"bhava-tech-all.js","468","Bhāva","False","name: 'Bhāva Tech',"
"bhava-tech-all.js","636","Bhāva","False","// SESSION TRACKER — Bhāva Tech"
"bhava-tech-all.js","732","Bhāva","True","<p class=""bv-sub"">You've been exploring Bhāva Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more."
"bhava-tech-all.js","799","Bhāva","False","toast.textContent = ""✅ Unlocked! Welcome to Bhāva Tech!"";"
"bhava-verified-starter-game-bank.js","2","Bhava","False","Bhava Verified Master Game Bank — 80 Items (10 Questions per Game)"
"bhava-verified-starter-game-bank.js","392","Bhāva","False","id:'space-01', gameId:'space-academy', gameName:'Bhāva Space Academy',"
"bhava-verified-starter-game-bank.js","394","Bhāva","False","prompt:'In Bhāva Space Academy, what keeps the International Space Station (ISS) in Low Earth Orbit without falling?',"
"bhava-verified-starter-game-bank.js","399","Bhāva","False","id:'space-02', gameId:'space-academy', gameName:'Bhāva Space Academy',"
"bhava-verified-starter-game-bank.js","406","Bhāva","False","id:'space-03', gameId:'space-academy', gameName:'Bhāva Space Academy',"
